,CreateProcessInternalW,CreateServiceW,DeleteFileW,FindWindowW,NtCreateFile,NtCreateMutant,NtCreateThreadEx,NtOpenMutant,OpenSCManagerW,NtReadFile,NtReadVirtualMemory,RegDeleteKeyW,RegEnumKeyExW,RegEnumValueW,RegOpenKeyExW,NtTerminateProcess,NtWriteFile,ShellExecuteExW,WriteProcessMemory,URLDownloadToFileW,sizeDrop,score,class
0,24.0,0.0,42.0,148.0,970.0,172.0,2.0,22.0,2.0,13414.0,30.0,4.0,498.0,66.0,3024.0,68.0,2458.0,6.0,0.0,0.0,72027499.0,8.8,benigno
1,12.0,2.0,2.0,0.0,86.0,34.0,8.0,14.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,14918.0,12.0,0.0,0.0,15412736.0,5.8,maligno
2,0.0,0.0,6.0,0.0,256.0,6.0,0.0,6.0,0.0,1700.0,0.0,0.0,382.0,0.0,1412.0,0.0,104.0,0.0,0.0,0.0,212646.0,2.2,benigno
3,24.0,0.0,30.0,8.0,2732.0,118.0,12.0,16.0,6.0,148746.0,0.0,0.0,1154.0,24.0,4582.0,36.0,149580.0,6.0,48.0,0.0,462735248.0,9.4,benigno
4,4.0,0.0,30.0,10.0,1788.0,52.0,2.0,16.0,6.0,2486.0,12.0,2.0,382.0,30.0,2724.0,18.0,1746.0,0.0,0.0,0.0,15365564.0,5.8,benigno
5,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,14584.0,12.0,0.0,0.0,15070720.0,5.2,maligno
6,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,13428.0,12.0,0.0,0.0,13886976.0,5.8,maligno
7,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3250.0,42.0,10102.0,12.0,0.0,0.0,10486272.0,5.8,maligno
8,4.0,0.0,20.0,4.0,622.0,6.0,0.0,6.0,2.0,2168.0,0.0,0.0,714.0,20.0,2558.0,18.0,292.0,0.0,0.0,0.0,342476.0,4.8,benigno
9,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,6510.0,12.0,0.0,0.0,11804672.0,5.2,maligno
10,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,maligno
11,2.0,0.0,2.0,12.0,728.0,40.0,0.0,8.0,2.0,112.0,6.0,0.0,34.0,30.0,248.0,6.0,0.0,2.0,0.0,0.0,0.0,4.0,maligno
12,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,13406.0,12.0,0.0,0.0,13864448.0,5.2,maligno
13,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6,maligno
14,9.0,0.0,70.0,12.0,1948.0,73.0,0.0,9.0,8.0,5123.0,3.0,2.0,1546.0,2043.0,7203.0,24.0,5709.0,4.0,202.0,0.0,130603708.0,15.8,benigno
15,8.0,0.0,128.0,6.0,1102.0,40.0,0.0,2.0,4.0,7732.0,0.0,0.0,732.0,20.0,3064.0,24.0,7838.0,2.0,0.0,0.0,20011565.0,8.4,benigno
16,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3244.0,42.0,3434.0,12.0,0.0,0.0,14196224.0,5.8,maligno
17,12.0,2.0,2.0,0.0,86.0,34.0,8.0,0.0,16.0,18.0,0.0,0.0,308.0,42.0,3250.0,42.0,11570.0,12.0,0.0,0.0,11989504.0,4.8,maligno
18,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.8,maligno
19,2.0,0.0,2.0,16.0,730.0,36.0,0.0,8.0,2.0,112.0,6.0,0.0,34.0,30.0,248.0,6.0,0.0,2.0,0.0,0.0,0.0,4.6,benigno
20,10.0,0.0,5114.0,6.0,15696.0,108.0,0.0,16.0,4.0,33160.0,6.0,4.0,1206.0,20.0,13128.0,6.0,23148.0,2.0,0.0,0.0,261263906.0,8.8,benigno
